tweet, polarity, negative, neutral, positive, compound
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
irony great nation people died blame modi due demonetisation liquir ban,negative,0.517,0.287,0.196,-0.6908
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
yogi adityanath follows pm modi ban lal batti today lalbattifused upcmyogiadityanath,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree,negative,0.286,0.714,0.0,-0.5574
झ ड _ल ओ_बचत_बच ओ month demonetisation people stil go atm confidence geting money,positive,0.0,0.752,0.248,0.5106
month demonetisation people still go atm confidence getting money झ ड _ल ओ_बचत_बच ओ,positive,0.0,0.752,0.248,0.5106
झ ड _ल ओ_बचत_बच ओ month demonetisation people stil go atm confidence geting money झ ड _ल ओ_बचत_बच ओ,positive,0.0,0.784,0.216,0.5106
month demonetisation people still go atm confidence getting money झ ड _ल ओ_बचत_बच ओ,positive,0.0,0.752,0.248,0.5106
gut declare demonetisation war right time use popularity take harshest decision n,negative,0.413,0.423,0.164,-0.6908
constitutional right already violated remember demonetisation aadhaar gaurakshaks,negative,0.327,0.673,0.0,-0.5267
lol somebody virtuously told ystday black money gone magician made disappear via,positive,0.115,0.545,0.339,0.5719
hindu muslim narrative distract demonetisation damage,negative,0.574,0.426,0.0,-0.6597
today result also showcase people gujarat stand demonetisation remarkable decision hon prime,positive,0.0,0.753,0.247,0.5574
hahaha good one demonetisation,positive,0.0,0.235,0.765,0.7579
hahaha good one demonetisation,positive,0.0,0.235,0.765,0.7579
deaf amp dumb girl hassan set lose hard earned lifetime money demonetisation http,negative,0.425,0.575,0.0,-0.7506
sell state many number return state holy wow gst gstbill,positive,0.0,0.611,0.389,0.6249
per bjp ever finding difficulty demonetisation anti national per govt different,negative,0.343,0.657,0.0,-0.5719
hahaha good one demonetisation,positive,0.0,0.235,0.765,0.7579
ndtv pulled housewife card aishwarya rai get negative remark modi demonetisation drive instead trolled th,negative,0.209,0.791,0.0,-0.5719
political n financial beneficiary demonetisation r influential indian time tweet ht,positive,0.0,0.538,0.462,0.7184
ndtv pulled housewife card aishwarya rai get negative remark modi demonetisation drive instead trolled th,negative,0.209,0.791,0.0,-0.5719
political n financial beneficiary demonetisation r influential indian time tweet,positive,0.0,0.5,0.5,0.7184
demonetisation crisis pm modi day deadline monetisation set fail,negative,0.521,0.479,0.0,-0.8225
earnest probe ind shellcos panamapapers cayman island owned india business honcho wud unearthd,positive,0.0,0.784,0.216,0.5106
demonetisation parliamentary panel call rbi governor urjitpatel note ban issue h,negative,0.286,0.714,0.0,-0.5574
hahaha good one demonetisation,positive,0.0,0.235,0.765,0.7579
hahaha good one demonetisation,positive,0.0,0.235,0.765,0.7579
hahaha good one demonetisation,positive,0.0,0.235,0.765,0.7579
hahaha good one demonetisation,positive,0.0,0.235,0.765,0.7579
hahaha good one demonetisation,positive,0.0,0.235,0.765,0.7579
bihar cabinet okay draft gstbill approved parliament ratified assembly special session convened,positive,0.0,0.471,0.529,0.7906
moron trying recover money lost demonetisation via betting ipl unaware recovery insider nagpur,negative,0.422,0.578,0.0,-0.743
foolproof digitalindia every rupee indian safe kudos bjp government post demonetisation still safer,positive,0.0,0.437,0.563,0.891
like united demonetisation gotta live reality ur fantasy world ppl listen u,positive,0.0,0.629,0.371,0.6486
immediate impact demonetisation negative luxury sector report,negative,0.381,0.619,0.0,-0.5719
deaf amp dumb girl hassan set lose hard earned lifetime money demonetisation,negative,0.451,0.549,0.0,-0.7506
hahaha good one demonetisation,positive,0.0,0.235,0.765,0.7579
note ban disruptive policy innovation since demonetisation noteban modi bjp rbi demonetisationdisaster,negative,0.337,0.514,0.149,-0.5106
really need gut take step like hat beneficial long run ajay devgan demonetisation h,positive,0.0,0.671,0.329,0.6597
demonetisation parliamentary panel call rbi governor urjitpatel note ban issue,negative,0.286,0.714,0.0,-0.5574
demonetisation wish rendukalla sidhanthi nov th babu ki credit ichina yellow batch reaction enti,positive,0.0,0.694,0.306,0.6486
hahaha good one demonetisation,positive,0.0,0.235,0.765,0.7579
upcmyogiadityanath cmofficeup pmo trust u u end monopoly builder like supertech capetownblackout sector,positive,0.0,0.608,0.392,0.7003
opportunist toi blame demonetisation urging dowry ban hate namo imp beating social evil,negative,0.676,0.277,0.047,-0.9509
hahaha good one demonetisation,positive,0.0,0.235,0.765,0.7579
scam yet come light demonetisation biggest scam followed jio g,negative,0.514,0.486,0.0,-0.8126
kudos successful implementation incremental crr saved nation potential eco disaster wen ppl debated demonetisation,positive,0.171,0.417,0.412,0.7003
cmofficeup upcmyogiadityanath sir request regulate rera noida asap people badly getting harassed,negative,0.398,0.602,0.0,-0.765
hahaha good one demonetisation,positive,0.0,0.235,0.765,0.7579
cash real amp fake seizure across india make case fresh demonetisation kill blackmoney amp,negative,0.37,0.521,0.109,-0.7579
bihar cabinet okay draft gstbill approved parliament ratified assembly special session convened,positive,0.0,0.471,0.529,0.7906
hahaha good one demonetisation,positive,0.0,0.235,0.765,0.7579
bihar cabinet okay draft gstbill approved parliament ratified assembly special session convened april,positive,0.0,0.5,0.5,0.7906
hahaha good one demonetisation,positive,0.0,0.235,0.765,0.7579
uttarpradesh entitled get maximum benefit gst read gstbill gstn,positive,0.0,0.579,0.421,0.6249
hahaha good one demonetisation,positive,0.0,0.235,0.765,0.7579
demonetisation iamwithmodi imwithmodi iamwithpm worst leader considering work public amp usage,negative,0.291,0.709,0.0,-0.6249
hahaha good one demonetisation,positive,0.0,0.235,0.765,0.7579
retweeted nrj toi investigation suggests digital gain post demonetisation,positive,0.0,0.702,0.298,0.5267
retweeted nrj toi investigation suggests digital gain post demonetisation,positive,0.0,0.702,0.298,0.5267
demonetisation impact may take month ass arvindsubramanian cea ask u excuse pm amp fm disastrous,negative,0.376,0.558,0.066,-0.7964
normalcy return mini afghanistan bengal post demonetisation business brisk counterfeiter happy egiye,positive,0.0,0.654,0.346,0.6486
disastrous demonetisation continues haunt economy,negative,0.688,0.312,0.0,-0.765
economic unification india track kudos ji ji gstbill passage onenation,positive,0.0,0.732,0.268,0.5106
demonetisation impact may take month ass chief economic adviser,negative,0.304,0.696,0.0,-0.5423
normalcy return mini afghanistan bengal post demonetisation business brisk counterfeiter happy egiye,positive,0.0,0.654,0.346,0.6486
demonetisation impact may take month ass chief economic adviser,negative,0.304,0.696,0.0,-0.5423
normalcy return mini afghanistan bengal post demonetisation business brisk counterfeiter happy egiye,positive,0.0,0.654,0.346,0.6486
normalcy return mini afghanistan bengal post demonetisation business brisk counterfeiter happy egiye,positive,0.0,0.654,0.346,0.6486
wai teri lootera killing lakh small investor,negative,0.423,0.577,0.0,-0.6597
demonetisation impact may take month ass chief economic adviser arvindsubramanian,negative,0.28,0.72,0.0,-0.5423
disastrous demonetisation continues haunt economy,negative,0.688,0.312,0.0,-0.765
disastrous demonetisation continues haunt economy,negative,0.688,0.312,0.0,-0.765
long take sound like arun jaitley counting note free time demonetisation,positive,0.0,0.608,0.392,0.7003
disastrous demonetisation continues haunt economy,negative,0.688,0.312,0.0,-0.765
disastrous demonetisation continues haunt economy,negative,0.688,0.312,0.0,-0.765
disastrous demonetisation continues haunt economy,negative,0.688,0.312,0.0,-0.765
disastrous demonetisation continues haunt economy,negative,0.688,0.312,0.0,-0.765
long take sound like arun jaitley counting note free time demonetisation,positive,0.0,0.608,0.392,0.7003
hope lalbattibandh another jumla like cashless demonetisation btw shop charging fee debit card even,positive,0.0,0.69,0.31,0.6597
long take sound like arun jaitley counting note free time demonetisation,positive,0.0,0.608,0.392,0.7003
upcmyogiadityanath ji taken possession without oc amrapali harassed please help,positive,0.0,0.471,0.529,0.7814
india need reform demonetisation threat etc environment preservingnature populationcontrol smartvillage tourism,negative,0.254,0.746,0.0,-0.5267
please implement rera like gstbill let another dreamzgkfraud,positive,0.0,0.556,0.444,0.5859
please implement rera like gstbill let another dreamzgkfraud,positive,0.0,0.556,0.444,0.5859
bold demonetisation surgicalstrike social initiative swatchbharat everyonevipinnewindia thanks pradhan sewak g,positive,0.0,0.593,0.407,0.6705
please implement rera like gstbill let another dreamzgkfraud,positive,0.0,0.556,0.444,0.5859
great decision beloved pm ji st demonetisation nw redbeacon rich poor vip common man queue,positive,0.113,0.365,0.522,0.9042
normalcy return mini afghanistan bengal post demonetisation business brisk counterfeiter happy egiye,positive,0.0,0.654,0.346,0.6486
demonetisation impact may take month ass chief economic adviser arvindsubramanian,negative,0.28,0.72,0.0,-0.5423
modi bank note ban inflicted pointless suffering india poorest ranjit goswami demonetisation,negative,0.531,0.469,0.0,-0.8807
demonetisation impact may take month ass chief economic adviser,negative,0.304,0.696,0.0,-0.5423
demonetisation impact may take month ass chief economic adviser arvindsubramanian,negative,0.28,0.72,0.0,-0.5423
normalcy return mini afghanistan bengal post demonetisation business brisk counterfeiter happy egiye,positive,0.0,0.654,0.346,0.6486
gst anti profiteering clause company worried gst gstbill gstindia,negative,0.504,0.496,0.0,-0.6249
ji lalbatti next game changer demonetisation wonderful decision sir,positive,0.0,0.684,0.316,0.5719
breakthetag demonetisation fail blame rbi unaccounted mony blame bank polariztion fail blame secularism breaking,negative,0.612,0.388,0.0,-0.9217
demonetisation disaster cash atm,negative,0.577,0.423,0.0,-0.6249
disastrous demonetisation continues haunt economy,negative,0.688,0.312,0.0,-0.765
modi utter word uma bharti lk advani asked sc stand criminal trial bet r pre demonetisation note,negative,0.185,0.815,0.0,-0.5267
note ban disruptive policy innovation since demonetisation noteban modi bjp rbi demonetisationdisaster,negative,0.337,0.514,0.149,-0.5106
shivsena mp ravindra robinhood gaikwad rescue demonetisation,positive,0.0,0.645,0.355,0.5106
present finance bill favour politically powerful financebill,positive,0.0,0.467,0.533,0.6908
demonetisation impact may take month ass chief economic adviser arvindsubramanian,negative,0.28,0.72,0.0,-0.5423
house cfo ganesh babu factoring major gain post gst,positive,0.0,0.702,0.298,0.5267
heartily congratulation sir n ji tireless effort get gstbill passed giant,positive,0.0,0.698,0.302,0.5994
normalcy return mini afghanistan bengal post demonetisation business brisk counterfeiter happy egiye,positive,0.0,0.654,0.346,0.6486
sonu nigam better take r lakh cash bank taking deposit r please convey thanks demonetisation,positive,0.0,0.552,0.448,0.7964
mean vision capability remonetise demonetisation win uttarakhand goa election,positive,0.0,0.547,0.453,0.7003
digital gain demonetisation overstated rbi data,positive,0.0,0.595,0.405,0.5267
demonetisation impact may take month ass chief economic adviser arvindsubramanian,negative,0.28,0.72,0.0,-0.5423
demonetisation impact may take month ass chief economic adviser arvindsubramanian,negative,0.28,0.72,0.0,-0.5423
pls provide po post office first sir mnths since demonetisation,negative,0.279,0.62,0.101,-0.5106
demonetisation impact may take month ass chief economic adviser arvindsubramanian,negative,0.28,0.72,0.0,-0.5423
demonetisation impact may take month ass cea arvindsubramanian,negative,0.333,0.667,0.0,-0.5423
demonetisation impact may take month ass cea arvindsubramanian,negative,0.333,0.667,0.0,-0.5423
demonetisation impact may take month ass chief economic adviser,negative,0.304,0.696,0.0,-0.5423
demonetisation impact may take month ass chief economic adviser arvindsubramanian,negative,0.28,0.72,0.0,-0.5423
demonetisation impact may take month ass chief economic adviser arvindsubramanian,negative,0.28,0.72,0.0,-0.5423
demonetisation impact may take month ass chief economic adviser arvindsubramanian,negative,0.28,0.72,0.0,-0.5423
demonetisation impact may take month ass chief economic adviser,negative,0.304,0.696,0.0,-0.5423
demonetisation impact may take month ass chief economic adviser arvindsubramanian,negative,0.28,0.72,0.0,-0.5423
demonetisation impact may take month ass chief economic adviser arvindsubramanian,negative,0.28,0.72,0.0,-0.5423
demonetisation impact may take month ass chief economic adviser arvindsubramanian,negative,0.28,0.72,0.0,-0.5423
demonetisation impact may take month ass chief economic adviser arvindsubramanian,negative,0.28,0.72,0.0,-0.5423
demonetisation impact may take month ass chief economic adviser arvindsubramanian,negative,0.28,0.72,0.0,-0.5423
demonetisation impact may take month ass chief economic adviser,negative,0.304,0.696,0.0,-0.5423
demonetisation impact may take month ass chief economic adviser arvindsubramanian,negative,0.28,0.72,0.0,-0.5423
demonetisation impact may take month ass chief economic adviser arvindsubramanian,negative,0.28,0.72,0.0,-0.5423
demonetisation impact may take month ass chief economic adviser arvindsubramanian,negative,0.28,0.72,0.0,-0.5423
demonetisation impact may take month ass chief economic adviser arvindsubramanian,negative,0.28,0.72,0.0,-0.5423
demonetisation impact may take month ass chief economic adviser arvindsubramanian,negative,0.28,0.72,0.0,-0.5423
bill gate foreign influencers demonetisation intellectual anarchy,positive,0.0,0.645,0.355,0.5106
globalgoals history st book kind time chosen demonetisation india ok,positive,0.0,0.588,0.412,0.6808
relief consumer gst tax rate good fall gstbill gstn gstwithbcs,positive,0.0,0.571,0.429,0.7184
gst would mean clutter free highway gstbill gstwithbcs,positive,0.0,0.68,0.32,0.5106
economy grow fy gst positive impact gstbill gstwithbcs,positive,0.0,0.66,0.34,0.5574
gst success state govt official invent gstbill gstwithbcs,positive,0.0,0.654,0.346,0.5719
rollout gst would outstanding achievement gstbill gstwithbcs,positive,0.0,0.6,0.4,0.6124
gst proposes e way bill good worth r transit gstbill gstwithbcs,positive,0.0,0.593,0.407,0.5859
gst compensation move dirtying clean energy fund gstbill gstwithbcs ht,positive,0.0,0.625,0.375,0.5859
fm taken enormous pain push gst say v lakshmikumaran gstbill,negative,0.292,0.708,0.0,-0.5106
relief consumer gst tax rate good fall gstbill gstn gstwithbcs,positive,0.0,0.571,0.429,0.7184
gst would mean clutter free highway gstbill gstwithbcs,positive,0.0,0.68,0.32,0.5106
economy grow fy gst positive impact gstbill gstwithbcs,positive,0.0,0.66,0.34,0.5574
normalcy return mini afghanistan bengal post demonetisation business brisk counterfeiter happy egiye,positive,0.0,0.654,0.346,0.6486
normalcy return mini afghanistan bengal post demonetisation business brisk counterfeiter happy egiye,positive,0.0,0.654,0.346,0.6486
relief consumer gst tax rate good fall gstbill gstn gstwithbcs,positive,0.0,0.571,0.429,0.7184
economy grow fy gst positive impact world bank gst demonetisation fdi worldbank,positive,0.0,0.753,0.247,0.5574
thank sir made day nano gps chip comedy demonetisation,positive,0.0,0.583,0.417,0.6124
opinion gst please feel free tweet fan gstbill retail,positive,0.0,0.432,0.568,0.7845
gst would mean clutter free highway gstbill gstwithbcs,positive,0.0,0.68,0.32,0.5106
economy grow fy gst positive impact gstbill gstwithbcs,positive,0.0,0.66,0.34,0.5574
normalcy return mini afghanistan bengal post demonetisation business brisk counterfeiter happy egiye,positive,0.0,0.654,0.346,0.6486
normalcy return mini afghanistan bengal post demonetisation business brisk counterfeiter happy egiye,positive,0.0,0.654,0.346,0.6486
normalcy return mini afghanistan bengal post demonetisation business brisk counterfeiter happy egiye,positive,0.0,0.654,0.346,0.6486
disastrous demonetisation continues haunt economy,negative,0.688,0.312,0.0,-0.765
economy grow fy gst positive impact gstbill gstwithbcs,positive,0.0,0.66,0.34,0.5574
normalcy return mini afghanistan bengal post demonetisation business brisk counterfeiter happy egiye,positive,0.0,0.654,0.346,0.6486
normalcy return mini afghanistan bengal post demonetisation business brisk counterfeiter happy egiye,positive,0.0,0.654,0.346,0.6486
normalcy return mini afghanistan bengal post demonetisation business brisk counterfeiter happy egiye,positive,0.0,0.654,0.346,0.6486
normalcy return mini afghanistan bengal post demonetisation business brisk counterfeiter happy egiye,positive,0.0,0.654,0.346,0.6486
normalcy return mini afghanistan bengal post demonetisation business brisk counterfeiter happy egiye,positive,0.0,0.654,0.346,0.6486
normalcy return mini afghanistan bengal post demonetisation business brisk counterfeiter happy,positive,0.0,0.629,0.371,0.6486
relief consumer gst tax rate good fall gstbill letstalkabouttrolls monsoon vijaymallya,positive,0.0,0.6,0.4,0.7184
disastrous demonetisation continues haunt economy,negative,0.688,0.312,0.0,-0.765
blackmoneycrackdown clean india drive extends clean black mon blackmoney currency demonetisation newnotes,positive,0.0,0.566,0.434,0.7096
rbi sends demonetised shredded note nid create product creativity demonetisation,positive,0.0,0.63,0.37,0.5719
disastrous demonetisation continues haunt economy,negative,0.688,0.312,0.0,-0.765
rbi sends demonetised shredded note nid create product creativity demonetisation,positive,0.0,0.63,0.37,0.5719
credit card paytm supporting demonetisation idea ground reality rural india व पक ष_क _द,positive,0.0,0.667,0.333,0.6705
disastrous demonetisation continues haunt economy,negative,0.688,0.312,0.0,-0.765
credit card paytm supporting demonetisation idea ground reality rural india व पक ष_क _द,positive,0.0,0.667,0.333,0.6705
credit card paytm supporting demonetisation idea ground reality rural india व पक ष_क _द,positive,0.0,0.667,0.333,0.6705
disastrous demonetisation continues haunt economy,negative,0.688,0.312,0.0,-0.765
upcmyogiadityanath upcm sir please something traffic system koi bhi kabhi bhi apki gaadi ke samne aa jaega truth,positive,0.0,0.777,0.223,0.5574
august kranti india get tax kranti march gstbill heartiest congratulation fellow countryman,positive,0.0,0.738,0.262,0.5994
